SampleID;host;sample_type;env_medium;isolation_source;host_disease;geo_loc_name;collection_date
11653955;None;None;raw ham [FOODON:00001696];raw ham;None;Switzerland;2009-11
11126832;Mus musculus C3H/Orl;pure culture;None;oral swab;None;United Kingdom;2012
7665175;Homo sapiens;None;None;pelvis;Pyelonephritis;Kenya;2003-01-01
6173251;Bos taurus;None;None;Herd 324;Mastitis;Canada: Quebec;2007-07-28
6173252;Bos taurus;None;None;Herd 226;Mastitis;Canada: Ontario;2008-02-28
6173227;Bos taurus;None;None;Herd 101;Mastitis;Canada: Alberta;2007-06-09
6173230;Bos taurus;None;None;Herd 106;Mastitis;Canada: Alberta;2007-07-01
6173237;Bos taurus;None;None;Herd 315;Mastitis;Canada: Quebec;2007-03-28
6173234;Bos taurus;None;None;Herd 223;Mastitis;Canada: Ontario;2007-07-10
6173239;Bos taurus;None;None;Herd 318;Mastitis;Canada: Quebec;2007-03-16
6173246;Bos taurus;None;None;Herd 306;Mastitis;Canada: Quebec;2008-02-25
6173247;Bos taurus;None;None;Herd 311;Mastitis;Canada: Quebec;2008-07-30
6173249;Bos taurus;None;None;Herd 314;Mastitis;Canada: Quebec;2008-03-30
4326481;Homo sapiens;None;None;skin;None;None;1900/1976
8827040;None;None;None;None;None;None;None
6173226;Bos taurus;None;None;Herd 102;Mastitis;Canada: Alberta;2007-04-03
6173232;Bos taurus;None;None;Herd 328;Mastitis;Canada: Quebec;2007-06-07
6173233;Bos taurus;None;None;Herd 414;Mastitis;Canada: Atlantic;2007-10-26
6173228;Bos taurus;None;None;Herd 102;Mastitis;Canada: Alberta;2007-10-18
6173235;Bos taurus;None;None;Herd 117;Mastitis;Canada: Alberta;2008-06-18
6173225;Bos taurus;None;None;Herd 106;Mastitis;Canada: Alberta;2007-06-19
6173250;Bos taurus;None;None;Herd 318;Mastitis;Canada: Quebec;2008-02-13
6173236;Bos taurus;None;None;Herd 303;Mastitis;Canada: Quebec;2007-02-26
6173241;Bos taurus;None;None;Herd 220;Mastitis;Canada: Ontario;2008-07-02
6173229;Bos taurus;None;None;Herd 108;Mastitis;Canada: Alberta;2007-06-29
6173245;Bos taurus;None;None;Herd 302;Mastitis;Canada: Quebec;2008-06-03
6173238;Bos taurus;None;None;Herd 226;Mastitis;Canada: Ontario;2007-05-25
6173248;Bos taurus;None;None;Herd 314;Mastitis;Canada: Quebec;2008-02-21
5978021;Homo sapiens;whole organism;None;skin;None;United Kingdom: London;1975-01-01
8134548;Rhipicephalus microplus;Cell culture;None;None;None;Mexico;2016-07-11
6127815;Homo sapiens;whole organism;None;skin;None;USA: Raleigh;1975
4383932;None;cell culture;None;leaf vegetable;None;South Korea;2012
2461309;Bovine;None;None;Bulk milk;None;United Kingdom;2013
4244269;None;Cell culture;None;Cheese rind;None;USA: Vermont;2015-06
4244270;None;Cell culture;None;Cheese rind;None;USA: Vermont;2015-06
4244266;None;Cell culture;None;Cheese rind;None;USA: California;2015-06
4244267;None;Cell culture;None;Raw cow's milk;None;USA: Vermont;2015-06
2472169;Homo sapiens;None;None;nasal;None;None;None
3401363;Oryza sativa;Microbe;None;None;None;India;2013
2947182;None;None;None;None;None;None;None
2850631;None;None;not applicable;None;None;not applicable;not applicable
2639856;None;missing;None;Animal faecal matter;None;Hong Kong;2012
2469673;mouse;None;None;None;None;India;2012-12
