AssemblyAccession;GenomeID;Locus;Genes;CDS;Proteine;tRNAs;rRNAs;ncRNAs
GCF_003579145.1;1480974165;QXUA00000000;2.755;2.683;2.640;55;8.3.1(5S.16S.23S);5
GCF_003579115.1;1480974613;QXTZ00000000;2.909;2.834;2.772;60;8.2.1(5S.16S.23S);4
GCF_003578925.1;1480957571;QXUL00000000;2.967;2.891;2.845;59;8.4.1(5S.16S.23S);4
GCF_003578895.1;1480964872;QXUK00000000;2.837;2.764;2.725;59;6.3.1(5S.16S.23S);4
GCF_003578835.1;1480966313;QXUH00000000;2.892;2.818;2.771;58;8.3.1(5S.16S.23S);4
GCF_003578865.1;1480894258;QXUI00000000;2.966;2.893;2.848;59;7.2.1(5S.16S.23S);4
GCF_003578815.1;1480924334;QXUG00000000;2.758;2.681;2.631;58;8.4.3(5S.16S.23S);4
GCF_003578785.1;1480972683;QXUD00000000;2.898;2.829;2.757;57;6.1.1(5S.16S.23S);4
GCF_003578765.1;1480897314;QXUC00000000;2.650;2.569;2.526;59;8.9.1(5S.16S.23S);4
GCF_003578725.1;1480936959;QXUB00000000;2.648;2.569;2.538;59;8.7.1(5S.16S.23S);4
GCF_900458755.1;1443137301;UHEI00000000;2.634;2.549;2.514;59;8.7.7(5S.16S.23S);4
GCF_900240095.1;1387949388;LT963439;2.611;2.552;2.524;50;3.1.1(5S.16S.23S);4
GCF_003043175.1;1378610230;PZES00000000;2.879;2.801;2.745;59;8.6.1(5S.16S.23S);4
GCF_003043145.1;1378589042;PZEP00000000;2.702;2.630;2.559;56;8.3.1(5S.16S.23S);4
GCF_003043105.1;1378617791;PZEO00000000;2.888;2.806;2.751;59;8.10.1(5S.16S.23S);4
GCF_003043125.1;1378614745;PZER00000000;2.940;2.863;2.787;60;8.4.1(5S.16S.23S);4
GCF_003042795.1;1378594252;PZEN00000000;2.712;2.635;2.589;59;8.5.1(5S.16S.23S);4
GCF_003041555.1;1378601282;PZET00000000;2.790;2.716;2.692;59;8.2.1(5S.16S.23S);4
GCF_003041535.1;None;None;None;None;None;None;None;None
GCF_003041515.1;1378602313;PZEM00000000;2.766;2.691;2.618;58;8.4.1(5S.16S.23S);4
GCF_003041485.1;1378599016;PZEJ00000000;2.764;2.688;2.600;59;8.4.1(5S.16S.23S);4
GCF_003041315.1;1378590909;PZEQ00000000;2.737;2.655;2.618;60;7.10.1(5S.16S.23S);4
GCF_003041255.1;1378626455;PZEH00000000;2.896;2.834;2.757;45;7.5.1(5S.16S.23S);4
GCF_003041275.1;1378592721;PZEL00000000;2.773;2.697;2.665;59;7.5.1(5S.16S.23S);4
GCF_003041265.1;1378596115;PZEG00000000;2.690;2.612;2.584;57;8.8.1(5S.16S.23S);4
GCF_002901985.1;1337414084;PPQM00000000;2.634;2.562;2.532;61;3.1.3(5S.16S.23S);4
GCF_002836825.1;1311099016;PIZO00000000;2.644;2.568;2.554;59;8.4.1(5S.16S.23S);4
GCF_002732165.1;1271480746;MRZO00000000;2.588;2.531;2.493;44;6.1.2(5S.16S.23S);4
GCF_002078255.1;1173369526;CP013922;2.790;2.705;2.688;59;8.7.7(5S.16S.23S);4
GCF_900098615.1;1073658057;FMRS00000000;2.694;2.622;2.605;58;6.3.1(5S.16S.23S);4
GCF_001748025.1;1071378249;LNPR00000000;2.658;2.616;2.585;35;1.1.1(5S.16S.23S);4
GCF_001747745.1;1071361597;LNPU00000000;2.611;2.572;2.552;32;1.1.1(5S.16S.23S);4
GCF_001747725.1;1071364319;LNPE00000000;2.608;2.576;2.557;23;2.1.2(5S.16S.23S);4
GCF_001747735.1;1071363216;LNPS00000000;2.698;2.658;2.626;33;1.1.1(5S.16S.23S);4
GCF_000338275.1;484105101;ANMR00000000;2.828;2.797;2.740;23;2.1.1(5S.16S.23S);4
GCF_001476985.1;969906518;LDTU00000000;2.752;2.687;2.659;54;4.2.1(5S.16S.23S);4
GCF_000953575.1;827010577;LN554884;2.677;2.595;2.559;59;7.6.6(5S.16S.23S);4
GCF_000709415.1;755010253;CP008724;2.590;2.505;2.496;59;8.7.7(5S.16S.23S);4
GCF_000706685.1;749314488;CP007208;2.750;2.678;2.615;55;5.4.4(5S.16S.23S);4
GCF_000467225.1;657291808;AURW00000000;2.684;2.620;2.606;56;2.1.1(5S.16S.23S);4
